IDTNS;B1_1;B1_2;C1_1;C1_2;C1_3;D1_1;D1_2;A2_1;A2_2;A2_3;A3;A4;E2;E4;F2_1;F2_2;F2_3;F4_1;F4_2;F4_3
3;8;7;10;8;7;6;8;4;10;8;6;6;8;0;6;8;8; ; ; 
11;8;7;9;10;8;10;8; ; ; ; ; ; ; ; ; ; ; ; ; 
16;7;8;9;9;9;3;4;9;10;9;10; ;1; ; ; ; ;9;10;9
19;5;2;2;2;3;5;5;8;8;5;5; ; ; ; ; ; ;3;3;3
21;8;8;10;8;8;9;10;10;0;8;10;10; ; ; ; ; ; ; ; 
28;8;9;10;7;9;8;8;8;9;8;10;10; ;10; ; ; ; ; ; 
35;8;7;8;9;9;8;7;9;9;7;9;9; ;9;7;8;8; ; ; 
38;5;6;7;6;7;7;5;7;7;7;7;7;8;8; ; ; ; ; ; 
39;10;9;8;7;7;10;10;10;10;10;10; ; ; ; ; ; ;10;10;10
50;5;10;10;7;10;7;5;2;10;6;10; ; ; ; ; ; ; ; ; 
76;10;10;0;0;0;0;10;0;10;10;10; ; ; ; ; ; ; ; ; 
91;3;2;3;3;3;3;2; ; ; ; ; ;0; ; ; ; ;8;0;0
94;10;9;9;8;9;10;9;9;10;10;9;9; ; ; ; ; ; ; ; 
95;8;9;8;7;8;5;5;4;4;8;4;6; ;8; ; ; ; ; ; 
114;6;7;6;4;5;6;7; ; ; ; ;7; ; ; ; ; ; ; ; 
116;7;7;5;3;5;9;9;6;8;10;8; ; ; ; ; ; ;7;7;8
119;5;5;3;2;1;0;3;0;2;0;0; ; ; ; ; ; ;4;10;8
124;5;5;4;3;6;4;6;5;5;4;5; ; ; ; ; ; ; ; ; 
126;6;7;8;7;7;5;5; ; ; ; ; ;5; ; ; ; ; ; ; 
127; ;7;8;5;5;10;10;7;5;8;8;10; ; ; ; ; ; ; ; 
130;8;6;5;4;7;8;8;8;10;8;8; ; ; ; ; ; ;10;10;10
132;9;7;8;7;6;5;5; ; ; ; ; ;5; ; ; ; ; ; ; 
137;9;8;9;9;9;9;9;9;9;9;9; ; ;9; ; ; ; ; ; 
140;5;5;8;8;7;7;3;5;2;5;5; ;7;7; ; ; ;10;10;8
141;5;4;6;6;5;5;6;2;2;4;3; ;3;3; ; ; ; ; ; 
145;10;10;10;10;10;10;10;7;10;10;9; ; ; ; ; ; ; ; ; 
152;5;7;6;6;5;8;7;7;9;8;8;7;8;7; ; ; ;8;8;8
153;10;8;10;6;8;10;10;4;4;6;6; ; ; ; ; ; ; ; ; 
156;10;10;10;10;8;9;10;9;10;10;9;10; ; ; ; ; ; ; ; 
158;9;9;7;5;7;7;7; ; ; ; ;7; ; ; ; ; ; ; ; 
160;8;6;5;5;5;10;10; ; ; ; ;10; ; ; ; ; ; ; ; 
186;8;6;6;6;3;9;9;4;8;8;6;7; ;7; ; ; ; ; ; 
187;6;6;7;5;7;10;8;7;8;6;6;4; ;8; ; ; ;8;8;8
190;8;8;7;5;5;8;8;7;8;8;10;8; ; ;10;10;10; ; ; 
195;10;10;10;9;8;10;10;9;10;10;10;10; ; ; ; ; ; ; ; 
198;0;1;0;0;0;0;3; ; ; ; ; ;0; ; ; ; ;0;3;0
209;9;8;10;9;9;9;9;10;10;10;10; ; ; ; ; ; ;10;10;10
211;6;7;5;8;6;5;7;5;7;8;8;5; ; ; ; ; ; ; ; 
214;4;6;3;0;0;3;7;5;7;5;3;5; ; ; ; ; ;5;3;5
223;7;6;5;7;5; ; ;7;8;8;7;6; ; ; ; ; ; ; ; 
224;5;6;7;7;6;5;5;8;6;5;7; ;6; ; ; ; ;4;9;8
234;9;9;10;9;8;10;10;9;9;10;10; ; ; ; ; ; ; ; ; 
245;8;0;8;8;5;5;10;3;0;3;7; ; ;6; ; ; ; ; ; 
247;8;10;10;10;10;10;10;8;10;8;10;10; ; ; ; ; ; ; ; 
260;8;4;8;4;8;7;9;9;7;1;2; ; ;6; ; ; ;8;10;10
262;10;10;7;8;8;10;10; ; ; ; ;10; ;10; ; ; ;10;10;10
264;10;10;9;9;9;9;9;8;9;9;8;8; ; ; ; ; ; ; ; 
273;10;0;9;0;9;9;9;0;9;9;9;9;9; ; ; ; ; ; ; 
276;2;1;5;0;0;0;10;0;0;10;2;10;10;10; ; ; ; ; ; 
278;2;6;4;4;4;2;2;2;5;4;1;3; ; ; ; ; ; ; ; 
293;8;8;5;5;8;10;10;10;10;10;10; ; ; ; ; ; ; ; ; 
294;5;0;0;0;0;5;5;5;0;5;5; ;5; ; ; ; ;5;3;0
299;7;10;7;5;5;10;10; ; ; ; ;7; ; ; ; ; ;10;7;8
302;9;2;8;7;8;9;10;3;6;6;5; ; ; ; ; ; ; ; ; 
308;10;10;4;4;4;8;8; ; ; ; ; ;4; ; ; ; ;4;4;0
365;5;5;7;6;8;5;8;2;5;2;2; ;3;5; ; ; ;10;10;10
369;8;8;8;5;3;10;10; ; ; ; ; ; ;10; ; ; ; ; ; 
373;3;4;2;0;2;4;3;3;4;5;5; ;0; ; ; ; ;7;7;5
380;8;8;7;7;7;7;8;0;0;0;5; ; ; ; ; ; ;8;8;8
386;8;9;9;7;7;10;7; ; ; ; ;8;8;8; ; ; ;8;8;9
390;6;7;7;5;6;8;9;7;7;7;8; ; ; ;6;6;8;9;9;9
412;5;5;6;4;5;8;8;3;8;8;8;8; ; ; ; ; ; ; ; 
413;9;9;9;10;9;10;10;8;9;10;10; ; ; ; ; ; ; ; ; 
417;8;9;8;6;8;9;8; ; ; ; ; ; ; ; ; ; ; ; ; 
421;5;5;9;8;4;10;9; ; ; ; ; ; ; ; ; ; ;4;8;5
436;10;10;10;10;10;6;6;7;7;7;6;10;4;4; ; ; ; ; ; 
437;0;0;5;5;4;3;0;0;0;5;5; ; ; ; ; ; ; ; ; 
443;10;10;7;7;7;10;10;8;7;7;8; ; ; ; ; ; ;9;9;9
446;10;5;3;3;3;5;5;3;5;10;10; ;3; ; ; ; ;5;5;5
481;8;10;8;5;8;10;10;5;10;10;9; ; ;10; ; ; ; ; ; 
483;9; ;9;9;9;5;10;5;5;8;7; ; ; ; ; ; ; ; ; 
490;9;10;10;8;8;10;10; ; ; ; ; ; ; ; ; ; ;10;10;10
492;7;7;9;9;7;8;7;8;8;8;8;8; ; ; ; ; ;7;8;9
493;10;10;10;10;10;10;10; ; ; ; ; ; ; ; ; ; ; ; ; 
505;9;10;10;9;10;10;10;10;10;10;10; ; ;10; ; ; ; ; ; 
509;5;8;8;8;8;9;8;8;5;5;5; ; ; ; ; ; ; ; ; 
517;7;7;9;9;9;10;10;10;10;10;10; ;5; ; ; ; ; ; ; 
527;0;0;1;1;0;2;0; ; ; ; ; ; ; ; ; ; ;3;1;0
528;8;8;10;8;8;8;8;8;10;8;10; ;10;10; ; ; ; ; ; 
536;8;8;9;9;9;0;6;9;9;9;9;9;1; ; ; ; ;10;10;10
575;8;9;8;7;8;7;8;7;9;8;9; ;9;9; ; ; ; ; ; 
578;4;7;2;2;2;5;5;0;2;2;0; ;0; ; ; ; ;0;2;0
600;8;8;10;10;10;8;6;10;8;10;10; ;10; ; ; ; ; ; ; 
618;10;7;5;5;5;10;10;9;6;9;9; ; ; ; ; ; ;5;5;8
626;9;9;9;9;8;10;10;10;10;10;10;10; ;10; ; ; ;10;10;10
630;8;10;6;6;5;8;8;5;8;8;8; ; ;8;6;8;8; ; ; 
641;8;10;8;7;8; ; ;6;8;9;9;8; ; ;8;8;10; ; ; 
658;6;6;5;6;3;6;7;7;6;7;7;7;8;7; ; ; ;8;8;8
